ALBANY,83
BRONX,349
BROOME,44
CATTARAUGUS,4
CHAUTAUQUA,19
CHEMUNG,7
CHENANGO,7
CLINTON,2
COLUMBIA,2
DUTCHESS,25
ERIE,266
GENESEE,5
GREENE,13
HERKIMER,6
JEFFERSON,30
KINGS,323
LIVINGSTON,12
MADISON,8
MONROE,205
MONTGOMERY,1
NASSAU,83
NEW YORK,250
NIAGARA,26
ONEIDA,31
ONONDAGA,115
ONTARIO,28
ORANGE,39
ORLEANS,3
OTSEGO,4
PUTNAM,6
QUEENS,202
RENSSELAER,20
RICHMOND,19
ROCKLAND,26
SARATOGA,16
SCHENECTADY,28
SENECA,1
ST LAWRENCE,4
STEUBEN,6
SUFFOLK,189
SULLIVAN,16
TIOGA,2
TOMPKINS,6
ULSTER,22
WARREN,5
WASHINGTON,17
WAYNE,2
WESTCHESTER,75
WYOMING,2
YATES,4
